ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
387,26/12/2024,2,Finland probes Russia-linked tanker for 'sabotage' of undersea cable,,https://www.france24.com/en/europe/20241226-finland-probes-russia-linked-tanker-sabotage-undersea-cable,4,13,71,7,13,60,"Finland is investigating suspected ""aggravated sabotage"" of an undersea power cable between itself and Estonia. The supect is a oil tanker part of Russia's shadow fleet.",4
388,26/12/2024,2,Syria authorities say 1 million captagon pills torched,,https://www.france24.com/en/video/20241226-syria-authorities-say-1-million-captagon-pills-torched,4,13,71;73,19,3,170,"Hay'at Tahrir al-Sham announced the destruction of enourmous stores of illicit substances. A stockpile recently burned contained alcohol, cannabis and approximately 1 million captagon pills.",4
389,26/12/2024,2,Pakistan military court sentences 60 pro-Imran Khan protesters to prison terms,,https://www.france24.com/en/asia-pacific/20241226-pakistan-military-court-sentences-60-pro-imran-khan-protesters-to-prison-terms,4,13,71,,,132,"The Pakistan military court has convicted 85 people for their involvement in the Pakistan Tehreek-e-Insaf protests in November. The US, EU and UK have criticised the process as one without transparency or judicial independence.",4
390,26/12/2024,2,Syria's new rulers launch crackdown in Assad stronghold after deadly clashes,,https://www.france24.com/en/live-news/20241226-syria-authorities-launch-operation-in-assad-stronghold,4,13,71;73,5,2,170,The Syrian government has announced an operation against pro-Assad militias remaining in the province of Tartus. Three gunmen have reportedly been killed as a result.,4
391,26/12/2024,2,Syrian forces clash with Assad remnants over arrest of Saydnaya prison officer,,https://www.france24.com/en/middle-east/20241225-deadly-clashes-in-assad-stronghold-as-loyalists-defend-former-regime-personnel,4,13,71;73,,2,170,At least 14 were killed during the attempted arrest of an officer from Sednaya prison in the Syrian's government's promise to punish players of Assad's regime.,4
392,26/12/2024,2,Four sources say Azerbaijan Airlines flight was downed by Russian air defences,,https://www.france24.com/en/video/20241226-four-sources-say-azerbaijan-airlines-flight-was-downed-by-russian-air-defences,5,19,,1,,88,Preliminary investigation into the lethal crash of an Azerbaijan place in Kazakhstan has implicated Russian air defences. The airline retracted its orginal statement that birds caused the crash. The incident resulted in 38 deaths. A criminal case is under,4
393,26/12/2024,2,South Korea's opposition moves to impeach acting President Han,,https://www.france24.com/en/asia-pacific/20241226-south-korea-s-opposition-moves-to-impeach-acting-president-han,4,13,71,5,2,162,The main opposition party has now filed an impeachment against South Korea's acting president Han Duck-soo for failing to approve the necessary judges for the Consitutional Court to finalise the impeachment of predecessor Yoon Suk Yeol.,4
394,26/12/2024,2,Azerbaijan mourns 38 killed in plane crash as investigation gets underway,,https://www.france24.com/en/asia-pacific/20241226-azerbaijan-mourns-38-killed-in-plane-crash-as-investigation-gets-underway,5,19,,1,2,88,Azerbaijan Airlines has retracted its statement that birds caused the crash of its plane in Kazakhstan which killed 38. Aviation and military experts speculate that Russian air defences may have mistaken the plane for  a Ukrainian drone.,4
395,22/12/2024,2,Christmas market attack: German authorities under fire over suspect’s history of threats,,https://www.france24.com/en/live-news/20241222-angry-questions-in-germany-after-christmas-market-attack,2,19,,14,12,65,"More information has been released surrounding the suspect in the German car attack. Security forces carried out a risk assessment on Taleb al-Abdulmohsen, who expressed terrorist ideas online. But they concluded he posed ""no specific danger"".",4
396,22/12/2024,2,Germany: Crowds mourn victims of deadly car-ramming attack,,https://www.france24.com/en/video/20241222-germany-crowds-mourn-victims-of-deadly-car-ramming-attack,2,19,71,14,12,65,"The suspect in the Magdeburg car attack allegedly wanted to punish Germany for its tolerance towards Islamists. He has been investigated previously for extremist sentiments online, but no specific threat was identified.",4
397,22/12/2024,2,Syrian rebel leader Ahmed al-Sharaa says state to control all weapons,,https://www.france24.com/en/middle-east/20241222-syria-s-new-leader-ahmed-al-sharaa-says-state-to-control-all-weapons,4,13,71;73,,,170,"The leader of HTS has announced all weapons will be under state control, and that armed factions were being dissolved. Additionally, he stated HTS was working on protecting minorities.",4
398,22/12/2024,2,Thousands gather in Belgrade to protest against Serbia’s populist government,,https://www.france24.com/en/europe/20241222-thousands-gather-in-belgrade-to-protest-against-serbia-s-populist-government,3,20,,14,10,153,"10 000s have gathered in Serbia's capital to protest against President Aleksandar Vucic's government. Vucic has accused the opposition of using students, who have lead demonstrations for weeks, to seize power.",4
399,22/12/2024,2,"Syria’s new rulers name defence, foreign ministers as interim cabinet takes shape",,https://www.france24.com/en/middle-east/20241222-syria-s-new-rulers-name-defence-foreign-ministers-as-interim-cabinet-takes-shape,4,12,71;73,19,,170,"The Syrian interim government takes shape as new figures are appointed. Senior figure of HTS Murhaf Abu Qasra is the defence minister, and Asaad Hassan al-Shibani the foreign minister.",4
400,22/12/2024,2,Israeli troops in Syria: Villagers watch on warily as soldiers patrol,,https://www.france24.com/en/video/20241222-israeli-troops-in-syria-villagers-watch-on-warily-as-soldiers-patrol,4,13,71,,13,170,"Israel is expanding its military presence into Syria, triggering concern by neighbouring countries and the UN Security Council as Israel violates conditions of the demilitarised zone in the Golan Heights.",4
401,22/12/2024,2,"Suspect behind German Christmas market attack 'Islamophobic', authorities say",,https://www.france24.com/en/video/20241222-suspect-behind-german-christmas-market-attack-islamophobic-authorities-say,2,19,71,14,12,65,The suspect behind the German Christmas market attack expressed extremist islamophobic views online. The motivations behind the attack are under investigation.,4
402,22/12/2024,2,Magdeburg: Germany mourns victims of deadly Christmas market attack,Nick Holdsworth,https://www.france24.com/en/video/20241222-german-mourn-victims-of-christmas-market-attack,2,19,,14,12,65,"The suspect behind the Christmas market attack in German had previously made death threats against German citizens, criticised the government's position on Islam, and expressed terrorist sentiments. Saudi Arabia warned Germany about the individual.",4
403,22/12/2024,2,Two US Navy pilots shot down over Red Sea in 'friendly fire' incident,,https://www.france24.com/en/middle-east/20241222-two-us-navy-pilots-shot-down-over-red-sea-in-friendly-fire-incident,4,12,71,10;19,3,191,"Two US pilots were shot down in the Red Sea from ""friendly fire"" as the US military conducted airstrikes against Yemen Houthi rebel locations, inlcuding a missile storage and command facility.",4
404,22/12/2024,2,US military says it conducted airstrikes against Houthi facilities in Sanaa,David Smith,https://www.france24.com/en/video/20241222-us-military-says-it-conducted-airstrikes-against-houthi-facilities-in-sanaa,4,13,71,7;19,1,191,The US has targeted a missile storage and command facility in the Houthi-held capital of Yemen. This comes after conflict between the Houthi and Israel.,4
405,22/12/2024,5,30 injured after Houthis fire rocket on Tel Aviv as clashes with Israel escalate,,https://www.cbc.ca/news/world/israel-yemen-missile-1.7417193,4,13,71,19,1,82,At least 30 people have been injured after a Houthi rocket strike on Tel Aviv. The conflict between Israel and Houthi rebels is escalating. The UN Secretary-General states that the ongoing attacks are undermining mediation efforts.,4
406,22/12/2024,9,Morning News Bulletin 22 December 2024,Sophie Bennett,https://www.sbs.com.au/news/podcast-episode/morning-news-bulletin-22-december-2024/2dpio5tpg,4,13,71,19,1,82,The Israeli military announced 30 people had been injured by a rocket in Tel Aviv fired by the Houthi rebel group.,4
407,22/12/2024,9,Evening News Bulletin 22 December 2024,Biwa Kwan,https://www.sbs.com.au/news/podcast-episode/evening-news-bulletin-22-december-2024/u2err26ik,2,19,,14,12,65,"A nine year old has been identified as the youngest victim from the car-ramming attack on the Christmans markets in Germany. Four adults were also killed,, and 205 others injured.",4
408,23/12/2024,2,'Friendly fire' over the Red Sea highlights mounting tensions,,https://www.france24.com/en/video/20241223-friendly-fire-over-the-red-sea-highlights-mounting-tensions,4,13,71,16,1,191,A US ship mistakenly shot down a US fighter jet over the Red Sea as the US was conducting airstrikes on Houthi locations in Yemen. Houthi rebels then claimed they had targeted the ship. Instability around the Red Sea is escalating.,4
409,23/12/2024,2,Saudi Arabia had 'warned' Germany about Christmas market attack suspect,,https://www.france24.com/en/europe/20241223-saudi-arabia-previously-sought-extradition-of-christmas-market-attack-suspect-source-says,2,19,,14,12,65,"Saudi Arabia allegedly warned German authorities about Taleb al-Abdulmohsen, the suspect in the Christmaas attack. The state made an extradition request, though no reason was given beyond being potentially dangerous.",4
410,23/12/2024,2,Luigi Mangione pleads not guilty to murdering UnitedHealthcare CEO,,https://www.france24.com/en/americas/20241223-luigi-mangione-pleads-not-guilty-murder-terrorism-charges-killing-unitedhealthcare-ceo,1,19,71,21,2,185,"Luigi Mangione has pleaded not guilty to murder as an act of terrorism. There are outstanding concerns of media bias and an unfair trial as Mangione faces court. More broadly, health insurers have reported increased death threats.",4
411,23/12/2024,2,Luigi Mangione pleads not guilty to murder and weapons charges,David Smith,https://www.france24.com/en/video/20241223-luigi-mangione-pleads-not-guilty-to-murder-and-weapons-charges-in-unitedhealthcare-ceo-s-death,1,19,71,21,2,185,Luigi Mangione has pleaded not guilty to the murder and weapons charges levelled at him in a New York court. He will confront Federal charges at a later date.,4
412,23/12/2024,2,Syria's new leader Ahmed al-Sharaa says state to control all weapons,,https://www.france24.com/en/video/20241223-turkey-s-fm-in-damascus-syria-s-new-leader-ahmed-al-sharaa-says-state-to-control-all-weapons,4,13,71;73,7;10;19,1,170,"The leader of HTS has announced that all weapons in Syria will be brought under state control, dissolving armed groups in an attempt to move towards civilian rule. Al-Sharaa has been meeting with numerous international representatives.",4
413,23/12/2024,5,German Christmas market attack suspect held on murder charges,,https://www.cbc.ca/news/world/german-christmas-market-suspect-1.7417391,3,11,,14,10,65,"Taleb al-Abdulmohsen is in pre-trial custody, soon to face murder and attempted murder charges for ramming his car into Christmas markets. A far-right protest with 2100 called for the mass deportation of migrants.",4
414,23/12/2024,9,Midday News Bulletin 23 December 2024,,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-23-december-2024/l8q5ifwuz,3,20,71,17,,9,The industrial action by Sydney rail workers is going ahead despise condemnation of authorities for the threat of public safety over the holiday period.,4
415,23/12/2024,9,"Cancelled trains, a call for free travel and a warning about NYE fireworks",,https://www.sbs.com.au/news/article/cancelled-trains-a-call-for-free-fares-and-a-warning-about-nye-fireworks/o6zcgbh71,3,20,,17,10,9,Industrial action by Syndey rail workers will impact Christmas and New Year travel unless the government and union reach an agreement. The Police Commissioner has warned the New Year fireworks may be cancelled due to safety risks.,4
416,23/12/2024,9,Morning News Bulletin 23 December 2024,Sam Dover,https://www.sbs.com.au/news/podcast-episode/morning-news-bulletin-23-december-2024/9om5zf9yi,2,19,,14,12,65,The suspect in the Magdeburg Christmas market attack allegedly made anti-Islam comments regularly online. Over 200 people were injured and five killed after a car rammed into the event.,4
417,24/12/2024,2,Hundreds of Syrian Christians protest burning of Christmas tree,Carys Garland,https://www.france24.com/en/middle-east/20241224-hundreds-of-syrian-christians-protest-burning-of-christmas-tree,2,9,,,3,170,"Hundred of demonstrators gather in Syria to protest the burning of a Christmas tree, an act representative of the instability of the Christian minority in Syria. The act was committed by foreign Ansar al-Tawhid fighters. HTS condemned the act.",4
418,24/12/2024,2,Hundreds of Christians protest in Syrian capital after Christmas tree burned,Carys Garland,https://www.france24.com/en/video/20241224-hundreds-protest-in-syrian-capital-after-christmas-tree-burned,3,20,,14,,170,"After a the burning of a Christmas tree by Ansar al-Tawhid was televised, hundreds of Syrians gathered in protest in Damascus, calling for more protection.",4
419,26/12/2024,2,Syria's new rulers arrest official behind Saydnaya death penalties,,https://www.france24.com/en/middle-east/20241226-syria-new-rulers-arrest-key-military-official-behind-saydnaya-death-penalties-assad,4,13,71;73,,2,170,"The former military justice official, responsible for death sentences at the infamous Saydnaya prison, has been arrested by Syrian officials following a lethal conflict.",4
420,26/12/2024,2,Syria: 17 killed in attempt to arrest ex-Assad officer,"Sami Nader,",https://www.france24.com/en/video/20241226-syria-17-killed-in-attempt-to-arrest-ex-assad-officer,4,13,71;73,,2,170,Syrian war monitor reported the 17 deaths in a deadly incident as security forces attempted to arrest a former prison official of Sednaya prison.,4
421,26/12/2024,2,South Korea's acting president Han faces impeachment vote from opposition party,,https://www.cbc.ca/news/world/south-korea-impeachment-vote-acting-president-han-1.7419036,4,13,71,,,162,The acting South Korean president is now facing impeachment for delaying the impeachment of his predecessor.,4
422,26/12/2024,5,"Dozens killed, injured after Russia-bound plane crashes in Kazakhstan [updated]",,https://www.cbc.ca/news/world/azerbaijan-plane-crash-1.7418960,5,19,,1,13,88,Authorities are now looking into the Azerbaijani plane crash in Kazakhstani as the airline retract their statement that the incident was caused by birds. A criminal case has been opened after 38 people were killed and 29 injured.,4
423,26/12/2024,9,Azerbaijan Airlines crash: What we know so far,,https://www.sbs.com.au/news/article/azerbaijan-airlines-crash-what-we-know-so-far/i3v6w895m,5,19,,1,,88,"What was first allegedly caused by birds, the Azerbaijan plane crash is now being investigated as potentially criminal. 38 people were killed when the plane crashed in Kazakhstan while travelling for Russia.",4
424,26/12/2024,9,Midday News Bulletin 26 December 2024,Greg Dyett,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-26-december-202/b0tni0mdd,5,19,,1,,88,"Kazakhstani, Azerbaijani and Russian authorities are now investigating the Azerbaijan plane crash as potentially criminal. Of the 67 people aboard, 38 people died during the crash.",4
425,26/12/2024,9,Investigation begins after fatal plane crash in Kazakhstan,Adriana Waistok,https://www.sbs.com.au/news/podcast-episode/investigation-begins-after-fatal-plane-crash-in-kazakhstan/nkxgy1frw,5,19,,1,,88,"Kazakhstan, Azerbaijan and Russia are cooperating on an investigation into a plane crash that caused 38 deaths. The Azerbaijan plane, headed for Russian before it crashed in Kazakhstan, alledgedly fell due to birds. But a criminal case has now been opened",4
333,27/12/2024,2,Airline blames 'physical and technical interference' for Azerbaijani plane crash,Luke Shrago,https://www.france24.com/en/asia-pacific/20241227-airline-blames-physical-and-technical-interference-for-azerbaijan-plane-crash-russia-ukraine-kazakhstan-chechnya,2,19,,1,2,88,"A driver has killed at least two people and injured 60 others after driving his car into a German Christmas market in what has been described as a ""deliberate attack"".",4
334,27/12/2024,2,NATO to enhance presence in Baltic Sea after suspected undersea cable sabotage,,https://www.france24.com/en/europe/20241227-estonia-begins-naval-patrols-to-protect-undersea-energy-cables-with-finland,2,19,,7,13,60,"Five people have been confirmed killed by the car that crashed into German Christmas markets. 60 others were injured. While no terrorist group has claimed the attack,, Islamic State supporteds celebrated online.",4
335,27/12/2024,2,"6,000 inmates escape from a high-security prison as post-election violence roils Mozambique",Laurent Berstecher,https://www.france24.com/en/video/20241227-6-000-inmates-escape-from-a-high-security-prison-as-post-election-violence-roils-mozambique,4,13,71,9,12,118,"The suspect in the Magdemurg Christmas market attack allegedly held extreme islamophic views, and was critical of Germnay's migrant policy.",4
336,27/12/2024,2,Azerbaijan's flag carrier suspends flights to more Russian cities following crash that killed 38,Elena Volochine,https://www.france24.com/en/video/20241227-azerbaijan-s-flag-carrier-suspends-flights-to-more-russian-cities-following-crash-that-killed-38,2,6,,1,2,88,"The Houthi group have claimed responsibility for the missile attack on Tel Aviv, injuring 16 people. Israel has conducted numerous airstrikes against Houthi-held energy facilities in Yemen in retaliation.",4
337,27/12/2024,2,South Korean lawmakers vote to impeach acting President Han Duck-soo,Yena Lee,https://www.france24.com/en/asia-pacific/20241227-south-korean-lawmakers-vote-to-impeach-acting-president-han-duck-soo,4,13,71,19,,162,"US diplomats express optimism after discussions with Al-Sharaa,, the leader of the HTS. The $10 million terrorist bounty for him has been removed.",4
338,27/12/2024,2,What to know about South Korean acting President Han's impeachment,Eliza Herbert,https://www.france24.com/en/video/20241227-what-to-know-about-south-korean-acting-president-han-s-impeachment,4,13,70,14,12,162,"The driver of a suspected deliberate car crash into Christmas markets in Germany has been arrested. At least 2 people have been kileld, and 60 others injured. The state's governor stated the attack appears to be that of a lone perpetrator.",4
339,27/12/2024,2,Israeli strikes hit Yemen as Netanyahu fires warning,Noga Tarnopolsky,https://www.france24.com/en/video/20241227-israeli-strikes-hit-yemen-as-netanyahu-fires-warning,4,13,71,18,1,191,Industrial action by Sydney's rail workers have triggered concerns for public safety over the holiday period.,4
340,27/12/2024,2,Top UN official in Yemen rejects Israeli claim Sanaa airport was military target,,https://www.france24.com/en/live-news/20241227-un-official-denies-israeli-claim-yemen-airport-was-military-target,4,13,71,18,1,191,"At least 5 people killed and 200 injured after a car rammed into Christmas markets in Germany. The suspect has been detained, a Saudi doctor who has lived in Germany since 2006. He described himself as a ""saudi atheist"" and  expresses extreme views.",4
341,27/12/2024,2,Aviation experts say Russia's air defense fire likely caused Azerbaijan plane crash as nation mourns,Luke Shrago,https://www.france24.com/en/video/20241227-aviation-experts-say-russia-s-air-defense-fire-likely-caused-azerbaijan-plane-crash-as-nation-mourns,2,6,,1,2,88,Two deaths and 68 injuried have been confirmed after a car deilberated rammed into German Christmas markets. The perpetrator has been detained.,4
342,27/12/2024,2,"Over 6,000 inmates escape from Mozambique prison amid post-election violence",,https://www.france24.com/en/africa/20241227-over-6-000-inmates-escape-from-mozambique-prison-amid-post-election-violence,2,6,71,9,10,118,"The US $10 million bounty on the leader of HTS, Ahmed al-Sharaa has been removed following a metting between US diplomats and al-Sharaa. The HTS terrorist designation remains.",4
343,27/12/2024,2,"South Korea acting president impeached, just two weeks after Yoon Suk Yeol",Yena Lee,https://www.france24.com/en/video/20241227-south-korea-acting-president-impeached-just-two-weeks-after-the-impeachment-of-president-yoon-suk-yeol,4,13,71,14,12,162,"A car crashed into Christmas markets in Magdeburg, killing two people and injuring at least 60 others.",4
344,27/12/2024,2,Ukraine says Russia 'must be held responsible' for Azerbaijan plane crash,Luke Shrago,https://www.france24.com/en/video/20241227-ukraine-says-russia-must-be-held-responsible-for-azerbaijan-plane-crash,2,19,71,1,2,88,"Described a the worst humanitarian crisis, the US has promised $200 million in aid for Sudan. It has also extracted an assurance from the United Arab Emirates that the state will not support the paramilitary Rapid Support Forces.",4
345,27/12/2024,2,Syria authorities launch operation in Assad stronghold but warn against incitement as tensions brew,Camille Knight,https://www.france24.com/en/video/20241227-syria-authorities-launch-operation-in-assad-stronghold-but-warn-against-incitement-as-tensions-brew,4,13,71;73,14,12,170,"An adult and a toddler have been killed after a car drove into German Christmas markets. At least 60 others were injured and the assailant, a Saudi doctor, apprehended.",4
346,27/12/2024,2,"US airstrike in Somalia kills two Al-Shabaab members, including top commander",,https://www.france24.com/en/africa/20241227-us-airstrike-in-somalia-kills-two-al-shabaab-members-including-top-commander,4,13,11;71,5;14,1,160,"Anti-corruption protests across Serbia as students occupy at least 50 universities. Some demonstrators have been attacked. The demonstrations follow the collapse of a train station, which killed 15, and the subsequent inaction of the justice system.",4
347,27/12/2024,2,WHO chief says he was at Yemen airport as Israeli bombs fell nearby,Luke Shrago,https://www.france24.com/en/video/20241227-who-chief-says-he-was-at-yemen-airport-as-israeli-bombs-fell-nearby,4,13,71,18,1,191,"Starbucks workers will stage a strike in Los Angeles, Chicago and Seattle during Christmas. Workers demand greater conditions and pay as Starbucks revenue declines under new leadership.",4
348,27/12/2024,5,"Israel launches new airstrikes in Yemen, killing 3, Houthi media say [updated]",,https://www.cbc.ca/news/world/israel-airstrikes-houthis-gaza-strip-1.7419039,4,13,71,18,1,191,"The UN states that the seige by the Rapid Support Military on El-Fasher, which has caused more than 700 deaths since May, may amount to war crimes. The organisation implores the group to stop.",4
349,27/12/2024,5,Syria's new rulers launch security crackdown as tensions brew [updated],,https://www.cbc.ca/news/world/syria-damascus-tartous-alawite-1.7419072,4,13,71;73,14,12,170,"An estimated 60-80 people have been injured, and at least one killed after a car drove into Christmas markets in a suepected intentional attack.",4
350,27/12/2024,9,Morning News Bulletin 27 December 2024,Sophie Bennett,https://www.sbs.com.au/news/podcast-episode/morning-news-bulletin-27-december-2024/1gmxukdrr,4,13,71,7;18,1,191,"At reported 18 people have been killed by Israeli airstrikes in Yemen, targetting ports and energy infrastrucutre. The assault takes place after the Israeli allegedly intercepted a missile from the Yemen militant group Houthi. Shrapnel destroyed a school.",4
351,27/12/2024,9,Midday News Bulletin 27 December 2024,Biwa Kwan,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-27-december-2024/hry4uy29g,2,19,71,7,12,60,"Amazon workers are staging an action against the company at seven locations, calling for better conditions. Amazon asserts that the union coerced workers to strike.",4
352,27/12/2024,9,What really happened to the Azerbaijani airliner?,Sophie Bennett,https://www.sbs.com.au/news/podcast-episode/what-really-happened-to-the-azerbaijani-airliner/od0n3r3u0,2,19,71,1,2,88,"Four new charges have been assigned to Luigi Mangione for the murder of Brian Thompson, including stalking charges.. He could face the death penalty. Prosecutors assert Mangione has been preparing the attack for months, citing his notebook.",4
353,28/12/2024,2,Thousands in Georgia join human chains in anti-government protests,,https://www.france24.com/en/europe/20241228-thousands-in-georgia-join-human-chains-in-anti-government-protests,3,20,71,14,10,64,"US authorities have assured the public that the 5000 sightings of unidentifed drones are not a threat, including the presidetn, who stated they were ""nothing nefarious"". However, without an answer, conspiracy theories and panic and proliferating.",4
354,28/12/2024,2,Putin apologises for 'tragic incident' following crash of Azerbaijani airliner,,https://www.france24.com/en/video/20241228-putin-apologises-for-tragic-incident-following-crash-of-azerbaijani-airliner,2,19,71,1,2,88,Israel is conducted airstrikes against Houthi strategic points in Yemen. Houthi media stated 9 people have been killed after power stations near the capital Sanaa were hit.,4
355,28/12/2024,2,Putin apologises to Azerbaijani president for 'tragic' plane crash,,https://www.france24.com/en/europe/20241228-putin-apologises-to-azerbaijani-president-for-tragic-plane-crash,2,19,71;73,1,2,88,"The possibilty of the death penalty has been reached after Mangione received a federal murder charge for the death of Brian Thompson, in addition to a stalking charge. Supports for Mangione gathered outside the courthouse.",4
356,28/12/2024,2,Georgia's contested ruling party to inaugurate president amid political crisis,,https://www.france24.com/en/video/20241228-georgia-s-ruling-party-to-inaugurate-disputed-president-amid-political-crisis,3,20,71,14,1,64,Sydney train workers are staging an industrial actiion over the Christmas-New year period. Authorities are warning of the immense impacts it will have. The Federal court is considering blocking the act.,4
357,28/12/2024,2,S. Korean prosecutors say Yoon authorised soldiers to shoot during botched martial law bid,,https://www.france24.com/en/live-news/20241228-s-korean-prosecutors-say-yoon-authorised-shooting-during-martial-law-bid,4,13,71,21,2,162,Ahmend al-Sharaa announced all rebel groups in Syria have agreed to surrender their weapons as HTS attempts to centralise Syrian armed forces. The move is meant to resolve the conflict between the Syrian National Army and Syrian Democratic Forces,4
358,28/12/2024,2,Israel says intercepted missile from Yemen after Sanaa airport hit,Noga Tarnopolsky,https://www.france24.com/en/video/20241228-israel-says-intercepted-missile-from-yemen-after-sanaa-airport-hit,4,13,71,14,1,82,"The far-right group Alternative for Germany gathered following the Christmas market attack, many expressing islamophobic views",4
359,28/12/2024,2,Putin seeks to 'give reassurances' in apology over Azerbaijan plane crash,Douglas Herbert,https://www.france24.com/en/video/20241228-putin-seeks-to-give-reassurances-in-apology-over-azerbaijan-plane-crash,2,19,70,1,2,88,"The investigation into the Christmas market attacks is ongoing. The suspect's will was found in the car he used, and social media posts reveal the man ""expected to die this year"" and was ""seeking justice at any cost.""",4
360,28/12/2024,2,"Afghan Taliban forces hit 'several points' in Pakistan in response to air strikes, Kabul says",,https://www.france24.com/en/asia-pacific/20241228-afghan-taliban-forces-hit-several-points-in-pakistan-in-response-to-air-strikes-kabul-says,4,13,71,19,1,132,The Israeli military declared it has intercepted a third missile sent from Yemen in a week.,4
361,28/12/2024,2,Thousands flee Mozambique for Malawi to escape deadly post-vote violence,,https://www.france24.com/en/africa/20241228-thousands-flee-mozambique-for-malawi-to-escape-deadly-post-vote-violence,3,19,70,,6,103;118,"Disguised aa ""memorial march"", the far-right Alternative for Germany (AfD) has rallied to call for Germany to close it's borders to immigration. They allege the Christmas market attack was perpetrated by an ""Islamist fuelled by hatred.""",4
362,28/12/2024,2,"Azerbaijani airliner crash may be result of weapon fire, transport minister says",,https://www.france24.com/en/video/20241228-kazakhstan-plane-crash-may-be-result-of-weapon-fire-azerbaijani-minister-says,2,19,,1,2,88,The German government is facing questions for ignoring security warnings about the suspect of the German Christmas market attack. The susppect is currently in pre-trial detention.,4
363,28/12/2024,5,South Korea's opposition votes to impeach acting president [updated],,https://www.cbc.ca/news/world/acting-president-han-duck-soo-also-impeached-south-korea-1.7419199,4,13,71,,2,162,"Accused of shooting the Ceo of UnitedHealthcare, Luigi Mangione has plead not guilty to federal charges of murder as an act of terrorism. The attorney states Mangione has been turned into a ""poltical pawn"", concerned about his right to a fair trial.",4
364,28/12/2024,5,NATO stepping up naval patrols as Finland investigates possible sabotage of undersea cables [updated],,https://www.cbc.ca/news/world/nato-baltic-sea-patrols-finland-sabotage-investigation-1.7419509,2,19,,7,,60,Sydney's rail network has cancelled several major work bans ahead of the holiday period. The union has accused the government of using a scarce campaign to combat the industrial action.,4
365,28/12/2024,5,Putin apologizes after Azerbaijani plane crash but stops short of saying Russian defences hit aircraft,,https://www.cbc.ca/news/world/azerbaijan-airlines-crash-putin-1.7419703,2,19,71,1,2,88,"As the murder trial of Brian Thompson begins, Luigi Mangione pleads not guilty to murder as an act of terrorism. He will face both state and federal prosecition. There are outstanding concerns for the defendant's right to a fair trial.",4
366,28/12/2024,9,Morning News Bulletin 28 December 2024,Sam Dover,https://www.sbs.com.au/news/podcast-episode/morning-news-bulletin-28-december-2024/5r24cw9r9,4,13,71,15,10,162,"The Christmas market attack has been used as an opportunity by the far-rightAfD party to call for the closing of Germany's borders for immirgations. Despite the fact that the suspect was islamophobic, the party stated the attack was by an ""Islamist"".",4
367,28/12/2024,9,South Korean MPs vote to impeach second president in as many weeks,,https://www.sbs.com.au/news/article/south-korean-mps-vote-to-impeach-second-president-in-as-many-weeks/bo4acjob8,4,13,71,12,2,162,"Two journalists and a  police officer were killed by the Haitian Viv Ansanm gang during the reopening of a hospital. Last week, the gang set fire to another hospital. Numerous others were injured by gunfire.",4
368,28/12/2024,9,"UN, WHO officials share the terrifying moments Israeli airstrikes hit Yemen airport",,https://www.sbs.com.au/news/article/the-terrifying-moments-israeli-airstrikes-hit-yemen-airport/kz4621lxn,4,13,71,18,1,191,"Russia has labelled the sinking of cargo ship in international waters as a ""targetted terrorist attack"". Explosions allegedly occurred before the Ursa Major, a US sanctioned ship, sank. Two are missing. Russia did not accuse any one of the attack.",4
369,29/12/2024,2,Kavelashvili sworn in as Georgia's president as predecessor vows to fight on,,https://www.france24.com/en/europe/20241229-kavelashvili-sworn-in-as-georgia-s-president-as-predecessor-vows-to-fight-on,4,13,71,19,1,64,"Targetting ""terrorist hideouts"", Pakistani airstrikes have killed at least 46 in Paktika.The Afghan Taliban plegded to respond to the attack. A week ago, aligned Tehreek-e-Taliban Pakistan killed 16  Pakistani soldiers.",4
370,29/12/2024,2,Azerbaijan's president says Russia unintentionally shot down crashed jetliner,,https://www.france24.com/en/europe/20241229-azerbaijan-s-president-says-russia-unintentionally-shot-down-crashed-jetliner,4,13,71,1,2,88,"There has been widespread political violence after Mozambique's top court confirmed the victory of presidential candidate, Daniel Chapo. More than 1500 escaped in a prison riot, leaving 33 dead and 15 injured.",4
371,29/12/2024,2,Zelensky calls for 'thorough investigation' into Azerbaijani airliner crash,Emmanuelle Chaze,https://www.france24.com/en/video/20241229-zelensky-calls-for-thorough-investigation-into-azerbaijani-airliner-crash,2,19,71,1,2,88,"Post-electoral violence sees at least 21 people killed. The top court confirmed the victory of presidential candidate Daniel Chapo, from the long-ruling Frelimo party after a contentious vote in October condemned by opposition as ""rigged"".",4
372,29/12/2024,2,Georgia inaugurates far-right ruling party loyalist as new president,,https://www.france24.com/en/video/20241229-georgia-inaugurates-mikheil-kavelashvili-as-president,4,13,71,17,2,64,"Industrial action by the workers of Sydney's rail network are projected to have a significant impact on holiday travel. The Federal Court has dismissed an attempt by the government to block the union's action, however the government intents to retry.",4
